경기도,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
(y) 전국출산율 대비 지역출산율,1.1,0.970945946,0.881756757,0.892567568,0.864864865,0.799324324,0.837162162,1.08101668,1.078020134,1.067014795,1.067699837,1.056270096,1.044718581,1.032855939,1.029875519,1.026634383,1.018771331,1.016159696,1.025588536,1.027233115,1.048984468,1.055693069,1.076923077
사교육비,,,,,,,,,,26.9,27.1,26.9,24.9,0.4,26,26.5,27.9,28.7,32.1,35.8,31.6,39.3,44.6
주택매매가격변동률,,,,,-0.34,0.461666667,1.854166667,0.690833333,0.440833333,0.0125,-0.211666667,0.131666667,-0.3375,-0.080833333,0.143333333,0.365833333,0.070833333,0.136666667,0.154166667,-0.0125,0.731666667,1.285833333,-0.611666667
주택전세가격변동률,,,,,,,,,,0.003841611,0.005227932,0.010035912,0.000181431,0.004795362,0.00460276,0.00593514,0.001697246,0.000775984,-0.002415809,-0.000874758,0.005419981,0.007065593,-0.007335395
실업률,3.9,3.5,2.8,3.4,3.6,3.8,3.5,3.3,3.2,3.8,4,3.4,3.3,3,3.3,3.9,3.9,3.9,3.8,3.8,4,3.7,2.7
비정규직근로자 비율,,,,0.293,0.352,0.344,0.306,0.334,0.296,0.319,0.309,0.321,0.319,0.304,0.296,0.313,0.306,0.304,0.313,0.356,0.35,0.371,0.35
국공립 보육시설 이용률,,,,,,,,,,91.2,92.8,93.4,94.5,93.1,91.2,91.1,92.2,90.1,88.5,87.8,86.9,86.2,
사립 보육시설 이용률,,,,,,,,,,78,81,82.4,85.1,82,81.7,78.8,80.4,81.6,81.5,81.5,75.9,76.2,
유아 천명당 보육시설수,,,,,,,,,,14.4,15.3,15.8,17,17.9,18,17.2,16.6,16.7,17.2,17.4,17.5,17.7,
여성 첫 출산 평균연령,29.15,29.38,29.6,29.83,30.08,30.33,30.53,30.74,30.92,31.13,31.42,31.6,31.75,31.98,32.15,32.36,32.51,32.71,32.95,33.14,33.25,33.45,
고령인구비율,5.7,5.9,6.2,6.5,6.8,7.1,7.4,7.8,8.1,8.4,8.7,9,9.4,9.8,10.2,10.5,10.8,11.4,11.9,12.5,13.2,13.9,14.7
범죄 발생 건수,,,,,36,32,31.4,33.7,42.9,38.8,30.4,31,31.9,32.9,32.7,34.4,37.5,32.4,29.7,29.8,29.4,26.3,
평균초혼연령,26.51,26.8,27.02,27.31,27.56,27.84,28,28.25,28.56,28.92,29.25,29.35,29.59,29.72,29.89,30.02,30.21,30.3,30.52,30.74,30.83,31.07,31.33
여성 경제활동참가율,,,,,,,,,,0.477,0.477,0.478,0.482,0.491,0.512,0.524,0.524,0.528,0.527,0.532,0.513,0.525,0.55
여성 실업률,,,,,,,,,,,0.038,0.034,0.031,0.028,0.034,0.039,0.041,0.038,0.037,0.036,0.039,0.04,0.031
남성 실업률,,,,,,,,,,,0.041,0.035,0.034,0.03,0.033,0.039,0.038,0.039,0.038,0.039,0.04,0.034,0.024
1인당 지역내총생산,"13,374","14,361","15,430","16,165","17,278","18,082","18,944","20,008","20,863","21,731","23,972","24,763","26,007","27,492","28,638","30,748","32,336","35,307","36,821","36,064","36,521","38,720",
지가변동률,1.92,1.91,13.06,5.12,6.12,5.686,5.074,4.229,0.267,1.217,1.485,1.47,1.038,0.912,1.236,1.733,2.231,3.45,4.421,4.291,3.978,4.305,
뉴스인덱스,,,,,,,,,,0.45272969,0.34318555,0.41373534,0.45702306,0.40217391,0.39637306,0.45217391,0.31044776,0.35504886,0.33864542,0.30864198,0.41463415,0.3638814,0.33703704
커뮤니티인덱스,,,,,,,,,,0.752413793,0.735966736,0.737656595,0.620689655,0.560900716,0.523047977,0.48509687,0.583673469,0.549208534,0.530695771,0.502739726,0.5,0.515646259,0.406271302
뉴스ver2,,,,,,,0.598423838,0.589215423,0.594060857,0.576048803,0.575670295,0.573955107,0.584627738,0.560692034,0.594425873,0.601995622,0.598521944,0.555035786,0.562695657,0.552815705,0.578407269,0.598521944,0.575977428
뉴스ver3,,,,,,,41612,37272,28367,30689,27182,22425,21115,10079,14759,11825,13201,11865,9886,8138,10822,13201,10003
커뮤니티ver2,,,,,,,,0.56217843,0.569401,0.5737436,0.57336728,0.57517061,0.55269156,0.54028249,0.5388029,0.54232521,0.54148806,0.53607223,0.53296719,0.52452888,0.52318865,0.52734062,0.52092387
커뮤니티ver3,,,,,,,,18684,19297,23084,21167,19301,13337,10978,10199,13691,19075,19416,18535,17118,9510,19066,8751