경상남도,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
(y) 전국출산율 대비 지역출산율,1.071621622,0.957432432,0.859459459,0.871621622,0.855405405,0.803378378,0.847297297,1.138999206,1.147651007,1.151436031,1.152528548,1.162379421,1.158828065,1.151642797,1.169294606,1.159806295,1.158703072,1.16634981,1.148413511,1.139433551,1.129032258,1.117574257,1.076923077
사교육비,,,,,,,,,,21.3,20.4,20.2,21.2,-0.4,20.3,20.4,20.9,22.1,22.6,24.8,24.1,27.6,31.1
주택매매가격변동률,,,,,-0.011666667,0.195,0.068333333,0.090833333,0.229166667,0.1825,0.846666667,1.565833333,-0.096666667,0.061666667,0.176666667,0.135833333,-0.048333333,-0.136666667,-0.409166667,-0.295,0.225,0.524166667,-0.2225
주택전세가격변동률,,,,,,,,,,0.002541215,0.009072559,0.014355626,0.000478079,0.002891567,0.002062303,0.001296103,0.000505337,-0.002240485,-0.004000571,-0.003514468,0.002450669,0.003573708,-0.000961741
실업률,3.5,3.3,2.5,2.5,2.4,2.6,2.3,2.4,2.2,3.1,2.8,2.2,1.8,2.1,2.5,2.6,3.3,2.9,3,3.8,4,4.1,3.3
비정규직근로자 비율,,,,0.3,0.34,0.31,0.269,0.29,0.262,0.302,0.261,0.323,0.271,0.254,0.282,0.267,0.286,0.27,0.274,0.324,0.353,0.386,0.349
국공립 보육시설 이용률,,,,,,,,,,86.3,87.9,90.4,91.2,91.2,88,86.3,88.6,89.3,83.6,82.8,81.4,80.3,
사립 보육시설 이용률,,,,,,,,,,76.6,78.2,77.6,82.4,79.1,79.4,78.7,79.2,79.4,77.3,77.1,74.4,72.9,
유아 천명당 보육시설수,,,,,,,,,,15.2,17.1,17.7,18.3,19,18.6,17.7,17.1,17.4,18.1,18,18.2,18.9,
여성 첫 출산 평균연령,28.76,28.95,29.25,29.44,29.71,29.9,30.04,30.13,30.33,30.54,30.86,31.09,31.31,31.54,31.81,31.98,32.14,32.34,32.45,32.7,32.81,33.03,
고령인구비율,8.4,8.8,9.1,9.5,9.9,10.2,10.7,11.1,11.4,11.6,11.8,12.1,12.5,12.9,13.4,13.8,14.2,14.9,15.5,16.3,17.4,18.4,19.5
범죄 발생 건수,,,,,40.4,33.6,32.8,38.9,41.9,40.5,39,36.4,33.8,35,33.5,35.3,33.9,29.8,26.8,28.6,29.3,26.5,
평균초혼연령,26.04,26.36,26.59,26.82,27.11,27.37,27.61,27.85,28.2,28.59,28.81,29.02,29.31,29.44,29.64,29.75,29.91,30.04,30.2,30.47,30.52,30.89,30.94
여성 경제활동참가율,,,,,,,,,,0.504,0.496,0.503,0.484,0.493,0.501,0.505,0.504,0.505,0.511,0.525,0.524,0.532,0.534
여성 실업률,,,,,,,,,,,0.025,0.022,0.02,0.019,0.022,0.028,0.03,0.024,0.029,0.037,0.039,0.04,0.036
남성 실업률,,,,,,,,,,,0.029,0.021,0.017,0.022,0.027,0.025,0.036,0.033,0.031,0.038,0.041,0.041,0.031
1인당 지역내총생산,"14,629","16,049","17,504","18,480","19,900","21,032","22,087","24,063","26,038","26,942","28,026","29,072","30,124","30,416","30,555","32,007","32,758","32,789","32,993","34,040","33,186","33,782",
지가변동률,1.15,0.94,2.22,1.38,3.09,2.809,2.561,2.218,0.105,0.44,1.288,1.627,1.669,1.491,1.974,2.232,2.359,3.094,2.204,0.557,0.719,2.027,
뉴스인덱스,,,,,,,,,,0.320574163,0.312625251,0.379069767,0.491725768,0.445783133,0.392156863,0.375366569,0.309677419,0.353293413,0.324817518,0.259259259,0.41025641,0.284132841,0.252669039
커뮤니티인덱스,,,,,,,,,,0.752413793,0.735966736,0.737656595,0.620689655,0.560900716,0.523047977,0.48509687,0.583673469,0.549208534,0.530695771,0.502739726,0.5,0.515646259,0.406271302
뉴스ver2,,,,,,,0.588461284,0.598611111,0.60052275,0.568748448,0.578450649,0.591351956,0.605429343,0.598513848,0.585145766,0.581245758,0.581614187,0.552122681,0.570020095,0.556658735,0.598270401,0.581614187,0.577667683
뉴스ver3,,,,,,,8884,14223,11258,16037,19123,20090,23105,15948,15174,17982,8035,9793,9077,6784,11899,8035,7579
커뮤니티ver2,,,,,,,,0.56217843,0.569401,0.5737436,0.57336728,0.57517061,0.55269156,0.54028249,0.5388029,0.54232521,0.54148806,0.53607223,0.53296719,0.52452888,0.52318865,0.52734062,0.52092387
커뮤니티ver3,,,,,,,,18684,19297,23084,21167,19301,13337,10978,10199,13691,19075,19416,18535,17118,9510,19066,8751