경상북도,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
(y) 전국출산율 대비 지역출산율,1.066216216,0.947297297,0.832432432,0.846621622,0.812837838,0.792567568,0.816216216,1.087370929,1.101510067,1.108790252,1.123164763,1.152733119,1.148033924,1.161752317,1.16846473,1.181598063,1.19112628,1.19391635,1.194472876,1.18627451,1.19832736,1.195544554,1.192307692
사교육비,,,,,,,,,,19.7,18.7,19,19.5,-0.8,19.1,19,19.3,20.6,21.4,22.5,20.7,27.9,29.4
주택매매가격변동률,,,,,-0.225,0.3,0.401666667,0.195,-0.104166667,-0.031666667,-0.010833333,0.5175,0.334166667,0.421666667,0.2925,0.2175,-0.14,-0.074166667,-0.159166667,-0.1975,0.114166667,0.473333333,-0.066666667
주택전세가격변동률,,,,,,,,,,-0.000109974,0.000937027,0.005943282,0.004200478,0.004343998,0.002404666,0.001839572,-0.000906616,-0.001029347,-0.002436661,-0.001921469,0.000687979,0.003320777,-0.000474364
실업률,3.4,2.7,2.2,2.2,2.6,2.5,2.4,2.1,2.1,2.7,2.8,2.6,2.5,3.1,2.9,3,3.2,2.8,4.1,3.9,4,3.2,2.5
비정규직근로자 비율,,,,0.319,0.333,0.303,0.321,0.333,0.305,0.361,0.359,0.349,0.349,0.347,0.331,0.324,0.323,0.331,0.305,0.349,0.344,0.352,0.376
국공립 보육시설 이용률,,,,,,,,,,78.7,82.9,84.3,82.7,80.8,80.6,79.8,81,78.4,78.6,78.6,78.7,77,
사립 보육시설 이용률,,,,,,,,,,73.8,77.1,76,78.4,73.8,75.7,73.7,74.1,75.3,75.3,74,70.8,70.4,
유아 천명당 보육시설수,,,,,,,,,,13.6,14.9,15.8,16.4,16.7,16.4,15.7,15.8,16.2,16.7,16.7,17,17.6,
여성 첫 출산 평균연령,28.67,28.89,29.13,29.27,29.58,29.78,29.89,29.94,30.18,30.38,30.61,30.88,31.02,31.24,31.47,31.72,31.9,32.1,32.29,32.47,32.59,32.9,
고령인구비율,10.7,11.2,11.7,12.3,12.9,13.4,13.8,14.6,15.1,15.4,15.6,15.7,16.2,16.8,17.3,17.7,18.2,19,19.8,20.6,21.7,22.7,23.8
범죄 발생 건수,,,,,43.5,34.2,33.7,36.5,39.6,39.1,36.8,33.5,34.5,36.4,32.9,34,32.6,29.7,27.8,29.1,27.9,25,
평균초혼연령,25.9,26.16,26.43,26.76,26.98,27.27,27.43,27.69,28.02,28.41,28.58,28.83,29.1,29.23,29.45,29.53,29.75,29.82,30.13,30.41,30.38,30.68,30.8
여성 경제활동참가율,,,,,,,,,0.527,0.527,0.536,0.529,0.535,0.531,0.538,0.525,0.528,0.529,0.531,0.53,0.525,0.517,0.541
여성 실업률,,,,,,,,,,,0.027,0.022,0.023,0.029,0.028,0.028,0.032,0.029,0.042,0.033,0.039,0.028,0.026
남성 실업률,,,,,,,,,,,0.028,0.028,0.028,0.033,0.03,0.032,0.031,0.027,0.041,0.043,0.042,0.035,0.024
1인당 지역내총생산,"16,485","17,270","18,942","21,006","23,928","25,286","25,983","27,165","28,945","30,021","33,341","34,408","35,014","36,533","38,742","38,510","40,040","41,130","40,677","40,082","39,887","42,706",
지가변동률,0.72,0.51,2.06,0.15,2.11,2.194,2.517,1.683,0.133,0.484,1.144,1.112,1.397,1.49,2.417,2.651,2.542,3.09,2.86,2.38,1.85,2.29,
뉴스인덱스,,,,,,,,,,0.392059553,0.343495935,0.423371648,0.436936937,0.423076923,0.456090652,0.379194631,0.390625,0.323770492,0.292929293,0.32173913,0.315789474,0.446969697,0.283154122
커뮤니티인덱스,,,,,,,,,,0.752413793,0.735966736,0.737656595,0.620689655,0.560900716,0.523047977,0.48509687,0.583673469,0.549208534,0.530695771,0.502739726,0.5,0.515646259,0.406271302
뉴스ver2,,,,,,,0.60743914,0.591331118,0.592987805,0.577857459,0.578043206,0.586863317,0.586028656,0.588752144,0.597562503,0.594408495,0.619050838,0.574026487,0.530596606,0.570722546,0.557892668,0.619050838,0.565757768
뉴스ver3,,,,,,,8933,12101,8558,14343,15680,20532,19387,19566,14317,14330,9157,8712,4847,5774,5676,9157,8922
커뮤니티ver2,,,,,,,,0.56217843,0.569401,0.5737436,0.57336728,0.57517061,0.55269156,0.54028249,0.5388029,0.54232521,0.54148806,0.53607223,0.53296719,0.52452888,0.52318865,0.52734062,0.52092387
커뮤니티ver3,,,,,,,,18684,19297,23084,21167,19301,13337,10978,10199,13691,19075,19416,18535,17118,9510,19066,8751