부산광역시,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
(y) 전국출산율 대비 지역출산율,0.834459459,0.74527027,0.658783784,0.667567568,0.643918919,0.599324324,0.618243243,0.813343924,0.822147651,0.818102698,0.852365416,0.866559486,0.875096376,0.883740522,0.904564315,0.91928975,0.934300341,0.927756654,0.920163767,0.90087146,0.892473118,0.900990099,0.923076923
사교육비,,,,,,,,,,20.3,20.8,20.7,23,-0.1,22.7,23.4,25.6,27.6,27.6,31.6,28.3,36.9,39.5
주택매매가격변동률,,,,,-0.3625,-0.116666667,-0.070833333,0.031666667,0.275833333,0.335833333,0.844166667,1.2425,-0.198333333,-0.02,0.094166667,0.280833333,0.2625,0.194166667,-0.125,-0.109166667,0.481666667,0.861666667,-0.389166667
주택전세가격변동률,,,,,,,,,,0.004182357,0.010050259,0.012458392,-3.89E-05,0.000923552,0.001350568,0.002667253,0.002389413,0.000625206,-0.001700225,-0.001556704,0.002712464,0.005351496,-0.0040541
실업률,7.1,5.7,3.9,4.1,4.4,4.4,4.2,4,3.8,4.3,3.6,3.6,3.9,3.8,3.8,4.1,3.9,4.6,4.1,3.7,4.2,3.4,3
비정규직근로자 비율,,,,0.29,0.321,0.321,0.339,0.353,0.338,0.344,0.298,0.322,0.314,0.325,0.323,0.321,0.325,0.332,0.313,0.36,0.38,0.411,0.422
국공립 보육시설 이용률,,,,,,,,,,86.6,87.6,89.1,90.5,90.9,8934,88.4,88.8,88.6,88.9,86.4,83.2,80.5,
사립 보육시설 이용률,,,,,,,,,,78.7,81,83,85.9,83.5,83,79.3,81.3,82.1,80.9,80,75.3,76,
유아 천명당 보육시설수,,,,,,,,,,10.8,11,11.1,11.4,11.9,12.2,12.1,12.1,12.6,13.2,13.8,14.3,14.8,
여성 첫 출산 평균연령,29.2,29.43,29.68,29.88,30.15,30.44,30.68,30.78,31.01,31.19,31.52,31.67,31.86,32.02,32.25,32.46,32.69,32.85,33.11,33.23,33.32,33.63,
고령인구비율,6,6.4,6.8,7.3,7.8,8.3,8.9,9.6,10.2,10.8,11.3,11.8,12.5,13.3,14,14.6,15.3,16.3,17.1,18.2,19.4,20.4,21.5
범죄 발생 건수,,,,,38.6,30.3,33.5,37.8,46.1,48,35.7,35.6,37.2,37.9,38,40,36.9,33.6,32.1,33.1,33.5,30,
평균초혼연령,26.74,27.04,27.26,27.6,27.9,28.14,28.4,28.64,28.88,29.22,29.47,29.73,29.96,30.11,30.35,30.52,30.63,30.74,30.91,31.04,31.08,31.3,31.67
여성 경제활동참가율,,,,,,,,,,0.46,0.459,0.457,0.476,0.476,0.479,0.485,0.486,0.49,0.486,0.506,0.496,0.495,0.501
여성 실업률,,,,,,,,,,,0.029,0.03,0.03,0.031,0.03,0.039,0.035,0.048,0.037,0.037,0.04,0.033,0.029
남성 실업률,,,,,,,,,,,0.041,0.041,0.045,0.044,0.044,0.042,0.042,0.044,0.045,0.038,0.044,0.034,0.03
1인당 지역내총생산,"9,790","10,980","11,901","13,122","14,124","14,738","15,386","16,703","18,167","18,208","19,223","19,700","20,554","21,217","22,467","23,956","24,815","25,650","26,464","27,577","27,204","29,649",
지가변동률,0.53,0.49,3.28,1.09,0.89,1.862,2.496,2.164,0.174,0.107,1.216,1.579,1.731,1.568,2.278,3.094,4.174,6.507,5.739,3.761,3.75,4.042,
뉴스인덱스,,,,,,,,,,0.343283582,0.307448494,0.381021898,0.391498881,0.435344828,0.35,0.316384181,0.295652174,0.310810811,0.205479452,0.335365854,0.424581006,0.187279152,0.263888889
커뮤니티인덱스,,,,,,,,,,0.752413793,0.735966736,0.737656595,0.620689655,0.560900716,0.523047977,0.48509687,0.583673469,0.549208534,0.530695771,0.502739726,0.5,0.515646259,0.406271302
뉴스ver2,,,,,,,0.58989748,0.587397032,0.57674968,0.575360603,0.576174372,0.593260073,0.603608937,0.601999091,0.578089888,0.581681514,0.549619314,0.531431238,0.552521483,0.581570028,0.601528007,0.549619314,0.556156156
뉴스ver3,,,,,,,27619,33800,29296,28680,27941,44539,23449,15900,15435,10447,8446,7972,9773,12698,15668,8446,12038
커뮤니티ver2,,,,,,,,0.56217843,0.569401,0.5737436,0.57336728,0.57517061,0.55269156,0.54028249,0.5388029,0.54232521,0.54148806,0.53607223,0.53296719,0.52452888,0.52318865,0.52734062,0.52092387
커뮤니티ver3,,,,,,,,18684,19297,23084,21167,19301,13337,10978,10199,13691,19075,19416,18535,17118,9510,19066,8751