울산광역시,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
(y) 전국출산율 대비 지역출산율,1.103378378,0.961486486,0.839189189,0.864864865,0.838513514,0.801351351,0.839189189,1.114376489,1.122483221,1.138381201,1.116639478,1.11977492,1.141865844,1.171861837,1.19253112,1.199354318,1.209897611,1.198669202,1.157625384,1.180827887,1.17562724,1.163366337,1.08974359
사교육비,,,,,,,,,,23.4,23.1,22.9,22.4,0,22.2,21.9,23.9,23.6,26.5,27.4,25.4,30,36.7
주택매매가격변동률,,,,,0.16,0.428333333,1.311666667,0.514166667,0.050833333,0.234166667,0.2475,0.980833333,0.284166667,0.020833333,0.255833333,0.264166667,0.035833333,-0.09,-0.59,-0.2475,0.615833333,0.655,-0.455833333
주택전세가격변동률,,,,,,,,,,0.002455516,0.004166535,0.0096558,0.003407483,0.001643696,0.001515679,0.001695036,0.000359003,-0.000846526,-0.007811277,-0.003704984,0.009487869,0.008721211,-0.00422839
실업률,4.3,3.4,2.5,3.2,3.5,3.4,2.8,2.5,3.4,4.1,3.5,2.7,2.6,2.1,2.7,2.9,3.8,3.5,4.6,4.2,4.2,3.6,3.2
비정규직근로자 비율,,,,0.273,0.305,0.276,0.267,0.279,0.288,0.306,0.318,0.317,0.291,0.279,0.266,0.246,0.3,0.291,0.319,0.323,0.343,0.349,0.349
국공립 보육시설 이용률,,,,,,,,,,94.9,96.5,93,96.6,96.3,86.8,92.4,93.9,93.6,91.3,92.1,88.2,86.9,
사립 보육시설 이용률,,,,,,,,,,77,81.3,82.6,86.3,85.1,85.3,83.4,75.5,84.8,86.2,83.8,79.4,79,
유아 천명당 보육시설수,,,,,,,,,,10,11.4,12.1,12.8,13.4,13.5,13.2,12.9,13.3,14.1,14.6,15,15.4,
여성 첫 출산 평균연령,28.96,29.26,29.47,29.65,29.88,30.05,30.14,30.24,30.49,30.67,30.98,31.27,31.35,31.6,31.83,31.98,32.17,32.27,32.54,32.68,32.74,32.94,
고령인구비율,4,4.2,4.4,4.7,5,5.3,5.6,6,6.3,6.6,6.8,7.1,7.5,7.9,8.3,8.8,9.3,10,10.7,11.5,12.6,13.6,14.7
범죄 발생 건수,,,,,45.1,33.6,35.1,40.1,40.1,41.1,36.7,32.5,32.6,35.3,35.3,38,33.9,30,28.4,28.6,27.6,25.9,
평균초혼연령,26.15,26.45,26.55,26.88,27.13,27.52,27.63,27.9,28.32,28.55,28.93,29.17,29.37,29.45,29.58,29.65,29.74,29.93,30.13,30.25,30.33,30.59,30.79
여성 경제활동참가율,,,,,,,,,,0.456,0.459,0.461,0.445,0.423,0.414,0.436,0.453,0.474,0.483,0.486,0.468,0.476,0.488
여성 실업률,,,,,,,,,,,0.031,0.024,0.032,0.023,0.027,0.032,0.029,0.03,0.041,0.037,0.045,0.039,0.035
남성 실업률,,,,,,,,,,,0.037,0.029,0.022,0.021,0.027,0.027,0.043,0.038,0.049,0.045,0.041,0.034,0.03
1인당 지역내총생산,"29,515","31,097","34,404","34,290","40,982","41,016","42,229","46,310","48,794","46,624","55,585","61,755","62,242","62,653","60,925","62,605","64,021","65,370","63,793","65,112","60,895","69,133",
지가변동률,0.26,0.38,1.75,0.66,1.79,2.062,2.937,2.902,0.281,0.307,0.736,1.094,1.646,1.368,1.849,2.52,2.351,3.542,2.646,0.35,1.635,2.315,
뉴스인덱스,,,,,,,,,,0.371841155,0.377926421,0.391791045,0.477351916,0.484679666,0.480555556,0.415204678,0.37371134,0.404069767,0.34137931,0.40562249,0.354477612,0.293333333,0.352941176
커뮤니티인덱스,,,,,,,,,,0.752413793,0.735966736,0.737656595,0.620689655,0.560900716,0.523047977,0.48509687,0.583673469,0.549208534,0.530695771,0.502739726,0.5,0.515646259,0.406271302
뉴스ver2,,,,,,,0.595513256,0.592821019,0.574808288,0.577030119,0.568900872,0.594256931,0.590646597,0.597221042,0.588341662,0.583876896,0.561010591,0.579481699,0.569552558,0.58073501,0.572647924,0.561010591,0.579148782
뉴스ver3,,,,,,,8034,9612,7046,9330,13504,14983,12478,14055,17895,16202,10170,13014,9585,7506,11875,10170,11199
커뮤니티ver2,,,,,,,,0.56217843,0.569401,0.5737436,0.57336728,0.57517061,0.55269156,0.54028249,0.5388029,0.54232521,0.54148806,0.53607223,0.53296719,0.52452888,0.52318865,0.52734062,0.52092387
커뮤니티ver3,,,,,,,,18684,19297,23084,21167,19301,13337,10978,10199,13691,19075,19416,18535,17118,9510,19066,8751