전라남도,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
(y) 전국출산율 대비 지역출산율,1.182432432,1.058108108,0.939864865,0.938513514,0.918918919,0.871621622,0.903378378,1.224781573,1.215604027,1.257615318,1.253670473,1.260450161,1.265998458,1.278854254,1.242323651,1.250201776,1.250853242,1.259505703,1.269191402,1.34422658,1.367980884,1.258663366,1.243589744
사교육비,,,,,,,,,,16.3,16.8,16.7,17.2,-0.4,16.4,16.5,16.2,15.8,19,18.1,19.1,23.3,26.1
주택매매가격변동률,,,,,-0.254166667,-0.03,0.006666667,0.325,0.874166667,0.11,0.311666667,0.6975,0.095,-0.099166667,-0.065,0.075833333,0.0875,0.185833333,0.2375,0.154166667,0.2,0.275833333,-0.05
주택전세가격변동률,,,,,,,,,,0.00216157,0.004061413,0.007346399,0.000401985,0.000227516,-0.000275403,0.001155586,0.000961347,0.001208262,0.000923337,0.000354967,0.00110694,0.00171077,-0.000892656
실업률,3.3,3,2.3,2.3,2.4,2.3,1.7,1.8,2,1.6,2.1,2,1.6,2.1,2.9,2.5,3,3.2,2.8,2.6,2.4,2.3,2.2
비정규직근로자 비율,,,,0.364,0.418,0.429,0.391,0.399,0.402,0.42,0.373,0.42,0.405,0.374,0.382,0.383,0.388,0.38,0.365,0.391,0.394,0.413,0.409
국공립 보육시설 이용률,,,,,,,,,,79.7,79.1,81.4,82.8,82.7,82.5,81.9,84.9,84.5,80.4,78.2,75.3,75.7,
사립 보육시설 이용률,,,,,,,,,,77.4,79.8,80.5,82,80.7,79.5,77,77.2,86.6,76,72.9,74,73.6,
유아 천명당 보육시설수,,,,,,,,,,11.6,11.9,12.1,12.2,12.8,13.2,13.1,13.6,14.3,15,15.2,15.4,16.5,
여성 첫 출산 평균연령,28.47,28.64,28.9,29.1,29.36,29.59,29.81,29.91,30.06,30.2,30.48,30.7,30.87,31.16,31.25,31.52,31.78,31.92,32.16,32.41,32.41,32.66,
고령인구비율,11.9,12.6,13.3,14.1,14.9,15.6,16.3,17.2,17.6,18,18.3,18.6,19.2,19.6,20.1,20.5,21,21.5,21.9,22.6,23.5,24.3,25.2
범죄 발생 건수,,,,,37.8,35.2,33.6,36.7,37.8,37.1,37.2,33.3,33.1,34.5,33.2,34.9,33,28.4,27.1,28.2,27.8,26.4,
평균초혼연령,25.35,25.67,25.86,26.26,26.39,26.91,27.24,27.42,27.69,28.11,28.28,28.57,28.79,29.02,29.16,29.33,29.47,29.79,29.96,30.07,30.24,30.42,30.81
여성 경제활동참가율,,,,,,,,,,0.552,0.537,0.537,0.543,0.54,0.54,0.545,0.553,0.553,0.552,0.562,0.565,0.575,0.597
여성 실업률,,,,,,,,,,,0.022,0.018,0.016,0.018,0.024,0.019,0.019,0.029,0.025,0.024,0.024,0.023,0.024
남성 실업률,,,,,,,,,,,0.021,0.022,0.016,0.024,0.033,0.03,0.038,0.033,0.03,0.026,0.023,0.023,0.021
1인당 지역내총생산,"15,446","16,702","18,408","20,345","23,508","23,953","24,303","27,407","30,160","29,695","34,768","35,553","36,201","37,264","36,953","38,339","39,824","41,076","42,131","43,402","43,957","49,506",
지가변동률,1.94,0.35,0.95,0.5,0.93,2.448,1.91,1.309,0.26,0.351,1.133,0.948,1.345,0.961,1.802,2.802,2.603,3.902,3.995,3.896,3.322,3.671,
뉴스인덱스,,,,,,,,,,0.390243902,0.378082192,0.514492754,0.469168901,0.436548223,0.683453237,0.406976744,0.272151899,0.3,0.272340426,0.251082251,0.346846847,0.206477733,0.220095694
커뮤니티인덱스,,,,,,,,,,0.752413793,0.735966736,0.737656595,0.620689655,0.560900716,0.523047977,0.48509687,0.583673469,0.549208534,0.530695771,0.502739726,0.5,0.515646259,0.406271302
뉴스ver2,,,,,,,0.593792015,0.606416834,0.582937696,0.586632057,0.60543131,0.616088676,0.613454165,0.580555338,0.651117921,0.57783264,0.558290052,0.543616451,0.528568717,0.54595639,0.548899314,0.558290052,0.532378947
뉴스ver3,,,,,,,10158,9337,7981,11752,15539,13395,15840,14803,11474,13341,6987,7098,5569,5934,6084,6987,6322
커뮤니티ver2,,,,,,,,0.56217843,0.569401,0.5737436,0.57336728,0.57517061,0.55269156,0.54028249,0.5388029,0.54232521,0.54148806,0.53607223,0.53296719,0.52452888,0.52318865,0.52734062,0.52092387
커뮤니티ver3,,,,,,,,18684,19297,23084,21167,19301,13337,10978,10199,13691,19075,19416,18535,17118,9510,19066,8751