제주특별자치도,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
(y) 전국출산율 대비 지역출산율,1.20472973,1.056756757,0.941891892,0.971621622,0.922297297,0.885135135,0.927027027,1.18268467,1.162751678,1.199303742,1.193311582,1.195337621,1.232074017,1.202190396,1.229045643,1.192090395,1.221843003,1.240494297,1.248720573,1.247276688,1.219832736,1.176980198,1.179487179
사교육비,,,,,,,,,,18.1,18.6,19.8,20.3,-0.7,19.9,20.1,22.6,22.4,23.2,25.8,27.3,29.6,31.4
주택매매가격변동률,,,,,-1.605,-0.3375,-0.145833333,-0.280833333,-0.078333333,0.210833333,0.38,0.426666667,0.303333333,0.02,0.118333333,0.650833333,0.380833333,0.1375,0.08,-0.2375,-0.176666667,0.5325,-0.015
주택전세가격변동률,,,,,,,,,,0.002548989,0.003027977,0.005258155,0.003516338,0.000832583,0.001607939,0.004332862,0.001559972,9.45E-05,-0.001539152,-0.002386303,-0.00132598,0.004324911,3.65E-05
실업률,2.7,2.5,2.2,1.9,2.4,2.5,2.1,2.1,1.8,1.6,1.8,1.7,1.5,1.8,2,1.9,2.2,1.9,2,2.1,2.5,3.1,2.1
비정규직근로자 비율,,,,0.439,0.435,0.458,0.477,0.41,0.383,0.399,0.421,0.416,0.415,0.441,0.422,0.402,0.393,0.391,0.391,0.446,0.438,0.41,0.43
국공립 보육시설 이용률,,,,,,,,,,90.5,93.8,94.8,90.2,93.7,84.6,87.8,95.5,97.2,94,89.4,84.3,87.9,
사립 보육시설 이용률,,,,,,,,,,85.3,86.1,79.1,83.3,82.4,84.3,83.4,90.1,91.5,90.2,88.6,84.4,81.5,
유아 천명당 보육시설수,,,,,,,,,,14.5,15.2,15.9,16.5,17.1,16.7,15.6,14.6,14.4,14.6,15,15.5,16.2,
여성 첫 출산 평균연령,29.48,29.66,30,30.26,30.38,30.62,30.8,30.94,31.15,31.23,31.39,31.49,31.72,31.88,31.95,32.24,32.44,32.57,32.76,32.95,32.92,33.28,
고령인구비율,8,8.3,8.7,9.2,9.6,10,10.5,11,11.5,11.9,12.2,12.6,13,13.4,13.6,13.8,13.9,14.2,14.4,15,15.7,16.3,17.1
범죄 발생 건수,,,,,53.3,45.3,44,41.3,48.4,42.8,44.3,42.9,45,52.6,51.5,54.2,54.6,47.7,41.1,38.9,40.2,37.7,
평균초혼연령,26.71,26.98,27.09,27.46,27.71,28.04,28.31,28.33,28.67,29.2,29.18,29.4,29.59,29.97,29.8,30.05,30.42,30.45,30.79,30.99,30.92,31.08,31.76
여성 경제활동참가율,,,,,,,,,,0.606,0.584,0.591,0.607,0.6,0.611,0.621,0.638,0.661,0.627,0.629,0.636,0.638,0.657
여성 실업률,,,,,,,,,,,0.02,0.012,0.014,0.017,0.022,0.015,0.017,0.017,0.023,0.02,0.024,0.036,0.019
남성 실업률,,,,,,,,,,,0.016,0.021,0.017,0.02,0.019,0.022,0.025,0.021,0.017,0.022,0.025,0.028,0.023
1인당 지역내총생산,"10,971","11,546","12,886","13,839","15,098","15,599","16,001","17,139","17,655","19,421","20,366","22,041","23,525","24,491","25,968","28,280","30,284","31,470","30,721","30,792","29,334","29,781",
지가변동률,2.18,3.13,6.01,1.25,1.96,2.122,2.104,1.672,0.02,0.197,1.073,0.918,1.25,1.424,3.728,7.568,8.332,5.457,4.989,1.767,1.933,1.848,
뉴스인덱스,,,,,,,,,,0.360128617,0.410493827,0.405479452,0.47,0.42962963,0.418181818,0.403954802,0.421917808,0.305263158,0.349673203,0.321782178,0.477031802,0.271186441,0.233333333
커뮤니티인덱스,,,,,,,,,,0.752413793,0.735966736,0.737656595,0.620689655,0.560900716,0.523047977,0.48509687,0.583673469,0.549208534,0.530695771,0.502739726,0.5,0.515646259,0.406271302
뉴스ver2,,,,,,,0.583466396,0.5875093,0.600518163,0.576227174,0.590081194,0.590241577,0.608821438,0.598801728,0.597504407,0.591091916,0.575751208,0.582081699,0.603358256,0.55835942,0.624277126,0.575751208,0.554258814
뉴스ver3,,,,,,,8039,13424,10894,13758,16134,18569,24832,21488,12881,17929,8076,12169,14445,8740,10903,10960,11303
커뮤니티ver2,,,,,,,,0.56217843,0.569401,0.5737436,0.57336728,0.57517061,0.55269156,0.54028249,0.5388029,0.54232521,0.54148806,0.53607223,0.53296719,0.52452888,0.52318865,0.52734062,0.52092387
커뮤니티ver3,,,,,,,,18684,19297,23084,21167,19301,13337,10978,10199,13691,19075,19416,18535,17118,9510,19066,8751