충청남도,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
(y) 전국출산율 대비 지역출산율,1.147297297,1.035135135,0.919594595,0.917567568,0.916891892,0.856081081,0.916216216,1.19618745,1.211409396,1.225413403,1.206362153,1.202572347,1.211256746,1.214827296,1.179253112,1.194511703,1.190273038,1.212927757,1.213920164,1.211328976,1.229390681,1.191831683,1.166667
사교육비,,,,,,,,,,18.7,17.8,17.9,17.7,-0.3,18.1,18,17.7,18.8,18.7,23.7,19.5,26,29.2
주택매매가격변동률,,,,,-0.083333333,0.285,0.000833333,0.050833333,0.13,0.01,0.048333333,0.613333333,0.328333333,0.2175,0.185833333,0.064166667,-0.126666667,-0.044166667,-0.153333333,-0.135,0.268333333,0.645833333,-0.145833333
주택전세가격변동률,,,,,,,,,,0.00050916,0.004150214,0.007921225,0.003806537,0.003324432,0.002715147,0.001759139,-0.000805732,-0.000939621,-0.002182209,-0.000771666,0.002933746,0.00508263,-0.001866322
실업률,2.8,2.9,2.7,2.9,2.4,2.7,2.5,2.4,2.5,3.1,3,2.4,2.3,2.8,3.3,3.5,3.2,2.8,3.1,2.9,3.5,2.3,2.3
비정규직근로자 비율,,,,0.35,0.417,0.415,0.381,0.383,0.349,0.357,0.312,0.342,0.327,0.333,0.32,0.346,0.337,0.338,0.358,0.373,0.376,0.357,0.366
국공립 보육시설 이용률,,,,,,,,,,84.1,85.2,88.2,90.9,84.8,86.5,84.4,84.1,84.4,81.6,81.7,81.1,79.1,
사립 보육시설 이용률,,,,,,,,,,79.4,81.6,79.1,81.3,76.2,77.8,77.7,78.3,78.4,78.8,79,73.6,73.5,
유아 천명당 보육시설수,,,,,,,,,,12.5,14.1,15.1,16.6,17.5,17.5,16.9,17,17.4,18.1,18.2,18.6,19.3,
여성 첫 출산 평균연령,28.36,28.61,28.77,29.08,29.32,29.48,29.63,29.77,29.97,30.14,30.41,30.53,30.76,31.04,31.27,31.39,31.58,31.8,31.95,32.19,32.37,32.61,
고령인구비율,11.2,11.8,12.3,12.8,13.1,13.3,13.7,14.3,14.5,14.8,14.9,15,15.3,15.6,16,16.4,16.7,17.1,17.5,18.2,19.1,19.8,20.6
범죄 발생 건수,,,,,40.4,38.2,34.6,36.5,36.5,36.2,34.2,30,31.5,32.5,32.1,32.1,30.8,28.1,28.1,29.5,29,25.6,
평균초혼연령,25.43,25.7,26,26.28,26.51,26.83,27.08,27.31,27.6,28.05,28.15,28.38,28.65,28.84,28.95,29.15,29.27,29.59,29.7,29.91,29.95,30.18,30.57
여성 경제활동참가율,,,,,,,,,,0.501,0.504,0.5,0.509,0.516,0.522,0.523,0.509,0.518,0.544,0.547,0.541,0.539,0.555
여성 실업률,,,,,,,,,,,0.026,0.023,0.024,0.025,0.036,0.037,0.034,0.029,0.032,0.032,0.038,0.022,0.023
남성 실업률,,,,,,,,,,,0.032,0.025,0.022,0.029,0.032,0.033,0.03,0.028,0.03,0.026,0.032,0.023,0.023
1인당 지역내총생산,"17,362","18,490","20,656","23,280","25,934","27,417","28,760","30,667","32,648","36,024","40,962","43,752","44,071","45,550","46,360","48,173","50,264","53,663","53,006","51,874","53,078","57,241",
지가변동률,1.18,0.36,2.48,4.81,11.65,8.322,5.546,2.025,0.117,0.257,1.161,0.762,0.88,0.777,1.386,1.512,1.898,2.983,2.276,1.632,2.08,2.81,
뉴스인덱스,,,,,,,,,,0.37628866,0.472527473,0.442906574,0.459183673,0.413489736,0.417670683,0.415178571,0.405286344,0.347368421,0.253731343,0.265151515,0.338028169,0.265536723,0.276595745
커뮤니티인덱스,,,,,,,,,,0.752413793,0.735966736,0.737656595,0.620689655,0.560900716,0.523047977,0.48509687,0.583673469,0.549208534,0.530695771,0.502739726,0.5,0.515646259,0.406271302
뉴스ver2,,,,,,,0.598505232,0.610202464,0.600239071,0.572305593,0.588087999,0.603221345,0.599548511,0.574041359,0.577674866,0.597893244,0.544769874,0.57964052,0.55547898,0.563435264,0.557370299,0.544769874,0.565292096
뉴스ver3,,,,,,,8008,8469,7030,6712,9864,13520,12217,11048,9605,11806,5859,6998,4836,3464,4061,5859,4606
커뮤니티ver2,,,,,,,,0.56217843,0.569401,0.5737436,0.57336728,0.57517061,0.55269156,0.54028249,0.5388029,0.54232521,0.54148806,0.53607223,0.53296719,0.52452888,0.52318865,0.52734062,0.52092387
커뮤니티ver3,,,,,,,,18684,19297,23084,21167,19301,13337,10978,10199,13691,19075,19416,18535,17118,9510,19066,8751