충청북도,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
(y) 전국출산율 대비 지역출산율,1.069594595,0.963513514,0.874324324,0.858108108,0.859459459,0.807432432,0.833108108,1.110405083,1.106543624,1.146214099,1.143556281,1.147909968,1.144949884,1.149957877,1.131120332,1.141242938,1.158703072,1.173954373,1.199590583,1.14379085,1.174432497,1.17450495,1.115384615
사교육비,,,,,,,,,,17.3,17.4,17.4,17.7,1.1,18.8,19,19.7,19,24.4,24.3,22.5,28.4,31.8
주택매매가격변동률,,,,,0.0625,0.464166667,0.264166667,0.0175,0.125,0.078333333,0.423333333,1.068333333,0.243333333,0.118333333,0.195,0.0925,-0.059166667,-0.03,-0.208333333,-0.266666667,0.293333333,0.694166667,-0.1125
주택전세가격변동률,,,,,,,,,,0.002387334,0.00531433,0.010744329,0.002915597,0.00170326,0.001965109,0.001887122,0.001390475,0.000847314,-0.002285209,-0.002803868,0.002627046,0.005263991,-0.00097485
실업률,3.6,3.4,2.5,3.1,2.7,2.3,2.2,2.3,2.2,2.1,2.2,2.4,2,2,3,2.6,2.6,2.2,2.4,3.1,3.2,2.5,2.5
비정규직근로자 비율,,,,0.392,0.42,0.411,0.368,0.352,0.326,0.352,0.355,0.351,0.311,0.308,0.337,0.35,0.347,0.331,0.337,0.369,0.345,0.386,0.401
국공립 보육시설 이용률,,,,,,,,,,85.8,87.5,87.7,88.6,86.2,83.8,82.7,86.8,86.1,84.6,80.5,80.1,80.5,
사립 보육시설 이용률,,,,,,,,,,74.3,77.3,80.4,82.6,81.8,81.9,78.5,79.7,80,80,79.7,75.5,75.6,
유아 천명당 보육시설수,,,,,,,,,,12.2,13,13,13.4,14,14.4,14.5,14.6,15,15.4,15.9,16.3,17.1,
여성 첫 출산 평균연령,28.55,28.77,28.95,29.18,29.42,29.68,29.89,30.01,30.09,30.22,30.65,30.8,30.96,31.19,31.36,31.59,31.69,31.97,32.01,32.21,32.39,32.57,
고령인구비율,9.1,9.5,10,10.4,10.9,11.3,11.8,12.4,12.7,13,13.2,13.4,13.7,14.1,14.5,14.8,15.1,15.8,16.4,17.1,18,18.9,19.9
범죄 발생 건수,,,,,43,38,35.2,40.4,41.6,38.6,35.1,30.9,32.2,33.1,32.2,33.9,35.3,31.6,30.2,30.1,29.9,27.2,
평균초혼연령,25.7,25.97,26.26,26.5,26.83,27.1,27.35,27.62,27.92,28.19,28.5,28.66,28.83,29.04,29.11,29.48,29.56,29.67,29.65,29.98,30.15,30.36,30.56
여성 경제활동참가율,,,,,,,,,,0.502,0.505,0.512,0.5,0.508,0.537,0.544,0.547,0.547,0.542,0.55,0.559,0.558,0.568
여성 실업률,,,,,,,,,,,0.021,0.026,0.016,0.019,0.031,0.026,0.029,0.024,0.028,0.027,0.03,0.024,0.023
남성 실업률,,,,,,,,,,,0.023,0.023,0.023,0.022,0.029,0.026,0.025,0.021,0.022,0.033,0.033,0.026,0.025
1인당 지역내총생산,"13,791","14,391","15,581","16,647","18,860","18,923","20,474","21,923","22,378","23,467","26,455","28,050","29,177","30,507","31,729","34,728","37,273","40,590","43,016","42,704","42,667","45,803",
지가변동률,1.12,0.41,3.02,2.54,3.83,4.981,4.37,1.265,0.364,0.11,0.653,0.585,1.086,1.018,1.694,1.902,1.919,3.079,3.156,2.221,2.273,3.26,
뉴스인덱스,,,,,,,,,,0.33460076,0.38247012,0.456,0.4,0.459016393,0.413127413,0.410071942,0.36437247,0.421052632,0.281818182,0.361386139,0.367924528,0.402597403,0.292207792
커뮤니티인덱스,,,,,,,,,,0.752413793,0.735966736,0.737656595,0.620689655,0.560900716,0.523047977,0.48509687,0.583673469,0.549208534,0.530695771,0.502739726,0.5,0.515646259,0.406271302
뉴스ver2,,,,,,,0.590518722,0.590051458,0.576471968,0.555718954,0.586838918,0.620276208,0.601015576,0.600618132,0.583384138,0.595780362,0.587942956,0.562542565,0.56726899,0.5871456,0.599117529,0.587942956,0.548834439
뉴스ver3,,,,,,,6876,6192,4915,6802,7268,9881,10534,12243,10526,11013,8163,7434,6624,5198,7468,8163,6451
커뮤니티ver2,,,,,,,,0.56217843,0.569401,0.5737436,0.57336728,0.57517061,0.55269156,0.54028249,0.5388029,0.54232521,0.54148806,0.53607223,0.53296719,0.52452888,0.52318865,0.52734062,0.52092387
커뮤니티ver3,,,,,,,,18684,19297,23084,21167,19301,13337,10978,10199,13691,19075,19416,18535,17118,9510,19066,8751